,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Mataura,56,NZ,2018-11-14 23:54:36,42,-46.19,168.86,20.04,8.07
1,Kungurtug,0,RU,2018-11-14 23:54:37,50,50.6,97.53,-29.74,1.07
2,Upernavik,12,GL,2018-11-14 23:54:37,100,72.79,-56.15,-9.24,10.07
3,Chara,75,GR,2018-11-14 22:50:00,87,39.42,22.43,12.0,2.1
4,Tuktoyaktuk,90,CA,2018-11-14 23:00:00,76,69.44,-133.03,-21.0,4.1
5,Poum,56,MK,2018-11-14 23:54:38,100,41.28,20.71,0.69,0.77
6,Lorengau,36,PG,2018-11-14 23:54:39,95,-2.02,147.27,29.89,4.47
7,Rikitea,12,PF,2018-11-14 23:54:39,100,-23.12,-134.97,23.54,2.67
8,Dire Dawa,24,ET,2018-11-14 23:54:40,91,9.59,41.86,14.99,1.72
9,Udachnyy,64,RU,2018-11-14 23:54:40,53,66.42,112.4,-20.82,2.87
10,Busselton,0,AU,2018-11-14 23:54:40,97,-33.64,115.35,18.11,7.97
11,Hilo,40,US,2018-11-14 22:56:00,62,19.71,-155.08,28.9,4.6
12,Cidreira,0,BR,2018-11-14 23:54:41,77,-30.17,-50.22,20.81,6.92
13,Talnakh,56,RU,2018-11-14 23:54:41,64,69.49,88.39,-22.57,2.07
14,Lang Suan,40,TH,2018-11-14 23:00:00,94,9.95,99.07,25.0,1.27
15,Hithadhoo,0,MV,2018-11-14 23:54:42,100,-0.6,73.08,28.36,7.17
16,Keffi,0,NG,2018-11-14 23:00:00,73,8.85,7.88,23.0,2.6
17,Butaritari,76,KI,2018-11-14 23:54:42,100,3.07,172.79,28.81,3.67
18,Buraydah,40,SA,2018-11-14 23:00:00,100,26.33,43.97,17.0,2.1
19,Airai,0,TL,2018-11-14 23:54:43,70,-8.93,125.41,26.29,1.02
20,New Norfolk,75,AU,2018-11-14 23:00:00,66,-42.78,147.06,12.0,5.7
21,Kavaratti,0,IN,2018-11-14 23:54:44,96,10.57,72.64,29.94,4.27
22,Tiznit,36,MA,2018-11-14 23:54:45,94,29.7,-9.73,13.61,1.17
23,Jamestown,0,AU,2018-11-14 23:54:45,60,-33.21,138.6,17.79,2.42
24,Bredasdorp,48,ZA,2018-11-14 23:00:00,93,-34.53,20.04,17.0,0.5
25,Jasper,92,US,2018-11-14 23:35:00,100,33.83,-87.28,4.4,1.42
26,Lantawan,90,PH,2018-11-14 23:00:00,83,10.62,123.98,27.0,3.82
27,Kaeo,56,NZ,2018-11-14 23:54:46,63,-35.1,173.78,18.86,6.17
28,Narsaq,88,GL,2018-11-14 22:50:00,41,60.91,-46.05,4.0,4.6
29,Chokurdakh,44,RU,2018-11-14 23:54:47,78,70.62,147.9,-18.04,3.77
30,Nanortalik,0,GL,2018-11-14 23:54:48,93,60.14,-45.24,1.56,12.22
31,Punta Arenas,40,CL,2018-11-14 23:00:00,65,-53.16,-70.91,7.0,6.2
32,Berdigestyakh,64,RU,2018-11-14 23:54:49,64,62.1,126.7,-22.49,1.97
33,Batie,20,FR,2018-11-14 23:30:00,87,45.06,5.82,10.0,5.1
34,Pierre,1,US,2018-11-14 22:53:00,41,44.37,-100.35,12.8,2.1
35,Yellowknife,90,CA,2018-11-14 23:00:00,77,62.45,-114.38,-15.0,5.7
36,Carnarvon,0,ZA,2018-11-14 23:54:50,25,-30.97,22.13,15.06,2.57
37,Qaanaaq,48,GL,2018-11-14 23:54:50,100,77.48,-69.36,-21.09,1.87
38,Kodiak,1,US,2018-11-14 22:53:00,45,39.95,-94.76,1.7,3.1
39,Champerico,75,MX,2018-11-14 22:47:00,68,16.38,-93.6,19.0,7.7
40,Arraial do Cabo,24,BR,2018-11-14 23:54:52,82,-22.97,-42.02,25.79,9.77
41,Lubao,75,PH,2018-11-14 23:00:00,78,14.94,120.6,27.0,1.0
42,Hermanus,0,ZA,2018-11-14 23:54:53,99,-34.42,19.24,12.29,1.37
43,Bosaso,8,SO,2018-11-14 23:54:53,100,11.28,49.18,25.56,2.12
44,Port Hardy,90,CA,2018-11-14 23:00:00,87,50.7,-127.42,11.0,1.5
45,Khatanga,32,RU,2018-11-14 23:54:53,73,71.98,102.47,-19.29,6.52
46,Atuona,0,PF,2018-11-14 23:54:54,100,-9.8,-139.03,27.31,7.37
47,La Rioja,0,AR,2018-11-14 23:51:22,44,-29.41,-66.86,20.31,1.62
48,Xining,88,CN,2018-11-14 23:54:54,88,36.62,101.77,-7.74,1.47
49,Srednekolymsk,8,RU,2018-11-14 23:54:55,54,67.46,153.71,-28.04,1.07
50,Valparaiso,1,US,2018-11-14 23:35:00,79,41.47,-87.06,0.0,2.1
51,Chuy,0,UY,2018-11-14 23:54:55,76,-33.69,-53.46,18.99,8.27
52,Griffith,0,AU,2018-11-14 23:54:56,88,-34.29,146.06,20.04,4.72
53,Souillac,90,FR,2018-11-14 23:30:00,93,45.6,-0.6,12.0,3.6
54,Castro,32,CL,2018-11-14 23:54:56,84,-42.48,-73.76,8.11,4.42
55,Port Alfred,12,ZA,2018-11-14 23:54:57,99,-33.59,26.89,16.24,2.87
56,Longyearbyen,20,NO,2018-11-14 22:50:00,63,78.22,15.63,-3.0,3.1
57,Avarua,75,CK,2018-11-14 23:00:00,78,-21.21,-159.78,27.0,5.1
58,Lasa,0,CY,2018-11-14 23:30:00,66,34.92,32.53,15.0,4.6
59,Pokhara,0,NP,2018-11-14 23:54:58,78,28.21,83.99,2.79,0.87
60,Meulaboh,100,ID,2018-11-14 23:54:59,100,4.14,96.13,25.44,2.22
61,Berlevag,24,NO,2018-11-14 23:54:59,100,70.86,29.09,-1.97,3.67
